sovereignt,iso_a3,continent
Afghanistan,AFG,Asia
Angola,AGO,Africa
Albania,ALB,Europe
United Arab Emirates,ARE,Asia
Argentina,ARG,Americas
Armenia,ARM,Europe
Armenia,ARM,Asia
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Europe
Azerbaijan,AZE,Asia
Burundi,BDI,Africa
Belgium,BEL,Europe
Benin,BEN,Africa
Burkina Faso,BFA,Africa
Bangladesh,BGD,Asia
Bulgaria,BGR,Europe
The Bahamas,BHS,Americas
Bosnia and Herzegovina,BIH,Europe
Belarus,BLR,Europe
Belize,BLZ,Americas
Bolivia,BOL,Americas
Brazil,BRA,Americas
Brunei,BRN,Asia
Bhutan,BTN,Asia
Botswana,BWA,Africa
Central African Republic,CAF,Africa
Canada,CAN,Americas
Switzerland,CHE,Europe
Chile,CHL,Americas
China,CHN,Asia
Ivory Coast,CIV,Africa
Cameroon,CMR,Africa
Democratic Republic of the Congo,COD,Africa
Republic of Congo,COG,Africa
Colombia,COL,Americas
Costa Rica,CRI,Americas
Cuba,CUB,Americas
Northern Cyprus,NA,Oceania
Northern Cyprus,NA,Asia
Northern Cyprus,NA,Asia
Northern Cyprus,NA,Asia
Cyprus,CYP,Europe
Cyprus,CYP,Asia
Czech Republic,CZE,Europe
Germany,DEU,Europe
Djibouti,DJI,Africa
Denmark,DNK,Europe
Dominican Republic,DOM,Americas
Algeria,DZA,Africa
Ecuador,ECU,Americas
Egypt,EGY,Africa
Eritrea,ERI,Africa
Spain,ESP,Europe
Estonia,EST,Europe
Ethiopia,ETH,Africa
Finland,FIN,Europe
Fiji,FJI,Oceania
United Kingdom,FLK,Americas
France,FRA,Europe
Gabon,GAB,Africa
United Kingdom,GBR,Europe
Georgia,GEO,Europe
Georgia,GEO,Asia
Ghana,GHA,Africa
Guinea,GIN,Africa
Gambia,GMB,Africa
Guinea Bissau,GNB,Africa
Equatorial Guinea,GNQ,Africa
Greece,GRC,Europe
Denmark,GRL,Americas
Guatemala,GTM,Americas
Guyana,GUY,Americas
Honduras,HND,Americas
Croatia,HRV,Europe
Haiti,HTI,Americas
Hungary,HUN,Europe
Indonesia,IDN,Asia
India,IND,Asia
Ireland,IRL,Europe
Iran,IRN,Asia
Iraq,IRQ,Asia
Iceland,ISL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,Americas
Jordan,JOR,Asia
Japan,JPN,Asia
Kazakhstan,KAZ,Europe
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kyrgyzstan,KGZ,Asia
Cambodia,KHM,Asia
South Korea,KOR,Asia
Kosovo,NA,Oceania
Kosovo,NA,Asia
Kosovo,NA,Asia
Kosovo,NA,Asia
Kuwait,KWT,Asia
Laos,LAO,Asia
Lebanon,LBN,Asia
Liberia,LBR,Africa
Libya,LBY,Africa
Sri Lanka,LKA,Asia
Lesotho,LSO,Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Latvia,LVA,Europe
Morocco,MAR,Africa
Moldova,MDA,Europe
Madagascar,MDG,Africa
Mexico,MEX,Americas
Macedonia,MKD,Europe
Mali,MLI,Africa
Myanmar,MMR,Asia
Montenegro,MNE,Europe
Mongolia,MNG,Asia
Mozambique,MOZ,Africa
Mauritania,MRT,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Namibia,NAM,Africa
France,NCL,Oceania
Niger,NER,Africa
Nigeria,NGA,Africa
Nicaragua,NIC,Americas
Netherlands,NLD,Europe
Norway,NOR,Europe
Nepal,NPL,Asia
New Zealand,NZL,Oceania
Oman,OMN,Asia
Pakistan,PAK,Asia
Panama,PAN,Americas
Peru,PER,Americas
Philippines,PHL,Asia
Papua New Guinea,PNG,Oceania
Poland,POL,Europe
United States of America,PRI,Americas
North Korea,PRK,Asia
Portugal,PRT,Europe
Paraguay,PRY,Americas
Israel,PSE,Asia
Qatar,QAT,Asia
Romania,ROU,Europe
Russia,RUS,Europe
Russia,RUS,Asia
Rwanda,RWA,Africa
Western Sahara,ESH,Africa
Saudi Arabia,SAU,Asia
Sudan,SDN,Africa
South Sudan,SSD,Africa
Senegal,SEN,Africa
Solomon Islands,SLB,Oceania
Sierra Leone,SLE,Africa
El Salvador,SLV,Americas
Somaliland,NA,Oceania
Somaliland,NA,Asia
Somaliland,NA,Asia
Somaliland,NA,Asia
Somalia,SOM,Africa
Republic of Serbia,SRB,Europe
Suriname,SUR,Americas
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Sweden,SWE,Europe
Swaziland,SWZ,Africa
Syria,SYR,Asia
Chad,TCD,Africa
Togo,TGO,Africa
Thailand,THA,Asia
Tajikistan,TJK,Asia
Turkmenistan,TKM,Asia
East Timor,TLS,Asia
Trinidad and Tobago,TTO,Americas
Tunisia,TUN,Africa
Turkey,TUR,Europe
Turkey,TUR,Asia
Taiwan,TWN,Asia
United Republic of Tanzania,TZA,Africa
Uganda,UGA,Africa
Ukraine,UKR,Europe
Uruguay,URY,Americas
United States of America,USA,Americas
Uzbekistan,UZB,Asia
Venezuela,VEN,Americas
Vietnam,VNM,Asia
Vanuatu,VUT,Oceania
Yemen,YEM,Asia
South Africa,ZAF,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
